singular,plural
JH EH0 P OW1,JH EH0 P OW1 Y IY0
JH UW0 B AH1 Z,JH UW0 B AH1 Z W AH0
S IH1 M,S IH1 M Y IY0
T OW0 JH OW1 Z,T OW0 JH OW1 Z W AH0
S AH1 SH,S AH1 SH W AH0
AH0 B OW1 JH,AH0 B OW1 JH W AH0
F IH1 P,F IH1 P L EY0
S EY0 G UW1 F,S EY0 G UW1 F L EY0
UW0 V EH1 G,UW0 V EH1 G Y IY0
B UW1 F,B UW1 F L EY0
S EY1 P,S EY1 P L EY0
SH IH1 D,SH IH1 D Y IY0
M UW1 P,M UW1 P L EY0
IH0 L AH1 T,IH0 L AH1 T L EY0
UH0 S UH1 D,UH0 S UH1 D Y IY0
F UW1 ZH,F UW1 ZH W AH0
EH0 K UH1 SH,EH0 K UH1 SH W AH0
JH EY1 V,JH EY1 V Y IY0
EY0 V UH1 K,EY0 V UH1 K L EY0
IY0 SH IH1 JH,IY0 SH IH1 JH W AH0
IY0 SH EY1 P,IY0 SH EY1 P L EY0
K AH0 D UW1 Z,K AH0 D UW1 Z W AH0
SH UW0 M IH1,SH UW0 M IH1 Y IY0
M OW0 F IY1 SH,M OW0 F IY1 SH W AH0
T OW0 T EY1 F,T OW0 T EY1 F L EY0
EH0 N IH1 T,EH0 N IH1 T L EY0
D EH1 P,D EH1 P L EY0
B EH0 M IY1 P,B EH0 M IY1 P L EY0
UH0 S OW1 Z,UH0 S OW1 Z W AH0
V OW0 L UH1,V OW0 L UH1 Y IY0
T UW1 SH,T UW1 SH W AH0
D UW0 D IY1 T,D UW0 D IY1 T L EY0
M IY0 K OW1 K,M IY0 K OW1 K L EY0
G IH0 P UW1 K,G IH0 P UW1 K L EY0
SH EH0 T UW1 F,SH EH0 T UW1 F L EY0
L UW0 L OW1 T,L UW0 L OW1 T L EY0
D UW0 N IY1 JH,D UW0 N IY1 JH W AH0
IH0 F OW1 S,IH0 F OW1 S W AH0
CH IH1 G,CH IH1 G Y IY0
N UW0 V EY1 T,N UW0 V EY1 T L EY0
S EH0 SH IH1 ZH,S EH0 SH IH1 ZH W AH0
N UH1 CH,N UH1 CH W AH0
JH EH0 K UW1 SH,JH EH0 K UW1 SH W AH0
Z EY0 Z IY1,Z EY0 Z IY1 Y IY0
D AH1 S,D AH1 S W AH0
D UW0 Z UW1 F,D UW0 Z UW1 F L EY0
IH0 SH IY1 F,IH0 SH IY1 F L EY0
IH0 CH IH1 S,IH0 CH IH1 S W AH0
L IH1 T,L IH1 T L EY0
CH UW1 JH,CH UW1 JH W AH0
Z UW1 S,Z UW1 S W AH0
N UH1 SH,N UH1 SH W AH0
L IH0 CH UW1,L IH0 CH UW1 Y IY0
EY0 M IY1 S,EY0 M IY1 S W AH0
EH0 JH EH1 Z,EH0 JH EH1 Z W AH0
V IY1 K,V IY1 K L EY0
D EH1 CH,D EH1 CH W AH0
EY0 V IY1 SH,EY0 V IY1 SH W AH0
P UH1 K,P UH1 K L EY0
P IY0 P IH1 CH,P IY0 P IH1 CH W AH0
M AH1 S,M AH1 S W AH0
UH0 SH EY1 ZH,UH0 SH EY1 ZH W AH0
D AH1 T,D AH1 T L EY0
N OW1 S,N OW1 S W AH0
V UW1 K,V UW1 K L EY0
G IH1 SH,G IH1 SH W AH0
M IY1 S,M IY1 S W AH0
AH0 N UW1 P,AH0 N UW1 P L EY0
CH OW1 T,CH OW1 T L EY0
F AH1 F,F AH1 F L EY0
EH0 M EH1 S,EH0 M EH1 S W AH0
K IH0 T EH1 SH,K IH0 T EH1 SH W AH0
IH0 JH IH1 CH,IH0 JH IH1 CH W AH0
Z EY1 K,Z EY1 K L EY0
Z OW0 B UH1 CH,Z OW0 B UH1 CH W AH0
CH IY0 M EH1 P,CH IY0 M EH1 P L EY0
T OW0 N EY1 B,T OW0 N EY1 B Y IY0
F UW0 Z AH1 F,F UW0 Z AH1 F L EY0
V UW1 F,V UW1 F L EY0
CH IH1 JH,CH IH1 JH W AH0
SH IY0 CH IY1 F,SH IY0 CH IY1 F L EY0
OW0 L IY1 ZH,OW0 L IY1 ZH W AH0
K IY0 G OW1 K,K IY0 G OW1 K L EY0
F OW0 D IY1 JH,F OW0 D IY1 JH W AH0
Z IY1 T,Z IY1 T L EY0
CH OW1 ZH,CH OW1 ZH W AH0
F AH0 T IH1 Z,F AH0 T IH1 Z W AH0
OW0 D UW1 SH,OW0 D UW1 SH W AH0
IH0 D EH1 N,IH0 D EH1 N Y IY0
OW0 T AH1 S,OW0 T AH1 S W AH0
Z EH0 SH IY1,Z EH0 SH IY1 Y IY0
V OW1 F,V OW1 F L EY0
IH0 JH UW1 Z,IH0 JH UW1 Z W AH0
S UW0 P UH1 T,S UW0 P UH1 T L EY0
EH0 F UH1 T,EH0 F UH1 T L EY0
B EY1 F,B EY1 F L EY0
UW0 JH AH1 Z,UW0 JH AH1 Z W AH0
UH0 S UW1 T,UH0 S UW1 T L EY0
L AH1 T,L AH1 T L EY0
G EY0 L IH1 CH,G EY0 L IH1 CH W AH0
V AH1 V,V AH1 V Y IY0
