singular,plural
UW0 T OW1 V,UW0 T OW1 V Y IY0
AH0 D IY1 T,AH0 D IY1 T L EY0
UH0 SH EY1 ZH,UH0 SH EY1 ZH W AH0
Z IH0 V EH1 Z,Z IH0 V EH1 Z W AH0
SH UW1 Z,SH UW1 Z W AH0
L EY1 ZH,L EY1 ZH W AH0
AH0 CH IY1 K,AH0 CH IY1 K L EY0
UW0 JH UW1 ZH,UW0 JH UW1 ZH W AH0
EY0 K IH1 P,EY0 K IH1 P L EY0
JH IH1 S,JH IH1 S W AH0
V IH1 P,V IH1 P L EY0
CH AH0 JH IY1 ZH,CH AH0 JH IY1 ZH W AH0
B OW0 F EY1,B OW0 F EY1 Y IY0
L AH0 N IH1 CH,L AH0 N IH1 CH W AH0
S IH0 G OW1,S IH0 G OW1 Y IY0
L IY0 G AH1 K,L IY0 G AH1 K L EY0
N UW1 V,N UW1 V Y IY0
Z UW1 T,Z UW1 T L EY0
AH0 M IY1 S,AH0 M IY1 S W AH0
M IY1 S,M IY1 S W AH0
IY0 B IY1 G,IY0 B IY1 G Y IY0
M IH0 B OW1 F,M IH0 B OW1 F L EY0
Z AH1 JH,Z AH1 JH W AH0
UH0 S UW1 JH,UH0 S UW1 JH W AH0
D IY1 F,D IY1 F L EY0
N UH1 T,N UH1 T L EY0
Z AH1 P,Z AH1 P L EY0
OW0 SH OW1 T,OW0 SH OW1 T L EY0
OW0 D IH1 K,OW0 D IH1 K L EY0
M UW1 SH,M UW1 SH W AH0
UW0 F EH1 K,UW0 F EH1 K L EY0
IH0 SH AH1 S,IH0 SH AH1 S W AH0
N AH1 P,N AH1 P L EY0
K EH0 B UH1,K EH0 B UH1 Y IY0
S EH1 P,S EH1 P L EY0
T EH1 P,T EH1 P L EY0
Z IY1 P,Z IY1 P L EY0
P EY1 K,P EY1 K L EY0
T UW1 ZH,T UW1 ZH W AH0
EY0 K IH1 K,EY0 K IH1 K L EY0
OW0 V EY1 CH,OW0 V EY1 CH W AH0
CH IH1 F,CH IH1 F L EY0
UW0 F OW1 ZH,UW0 F OW1 ZH W AH0
CH UW1 B,CH UW1 B Y IY0
IH0 G EH1 T,IH0 G EH1 T L EY0
UH0 SH AH1 JH,UH0 SH AH1 JH W AH0
G AH0 CH UW1 ZH,G AH0 CH UW1 ZH W AH0
M UW1 F,M UW1 F L EY0
JH EY0 M EY1 K,JH EY0 M EY1 K L EY0
D IH0 B AH1 V,D IH0 B AH1 V Y IY0
JH UW0 SH IH1 S,JH UW0 SH IH1 S W AH0
K UW1 Z,K UW1 Z W AH0
S EY0 G UW1 F,S EY0 G UW1 F L EY0
IY0 N OW1 S,IY0 N OW1 S W AH0
IH0 B EH1 S,IH0 B EH1 S W AH0
V AH1 F,V AH1 F L EY0
V EH0 B AH1 JH,V EH0 B AH1 JH W AH0
K AH1 Z,K AH1 Z W AH0
T IY1 P,T IY1 P L EY0
SH UW0 P OW1,SH UW0 P OW1 Y IY0
B EY1 F,B EY1 F L EY0
EH0 M UW1 JH,EH0 M UW1 JH W AH0
IY0 G AH1 Z,IY0 G AH1 Z W AH0
S EY1 T,S EY1 T L EY0
CH EH0 P AH1 Z,CH EH0 P AH1 Z W AH0
M IY0 G OW1 T,M IY0 G OW1 T L EY0
EY0 B IH1 P,EY0 B IH1 P L EY0
EY0 S OW1 K,EY0 S OW1 K L EY0
OW0 S OW1 F,OW0 S OW1 F L EY0
N UW0 V EY1 T,N UW0 V EY1 T L EY0
D UW0 Z UW1 F,D UW0 Z UW1 F L EY0
Z IH0 B EY1 K,Z IH0 B EY1 K L EY0
JH IH1 SH,JH IH1 SH W AH0
IH0 B OW1 S,IH0 B OW1 S W AH0
IH0 G EH1 SH,IH0 G EH1 SH W AH0
G IH0 P UW1 K,G IH0 P UW1 K L EY0
EH0 P OW1 F,EH0 P OW1 F L EY0
IY0 P IH1 SH,IY0 P IH1 SH W AH0
G IH0 B EH1 Z,G IH0 B EH1 Z W AH0
JH AH0 S OW1 CH,JH AH0 S OW1 CH W AH0
M OW1 ZH,M OW1 ZH W AH0
N UH1 CH,N UH1 CH W AH0
F UW1 P,F UW1 P L EY0
M UW0 M EY1 JH,M UW0 M EY1 JH W AH0
CH EH1 F,CH EH1 F L EY0
JH EH1 SH,JH EH1 SH W AH0
M AH1 S,M AH1 S W AH0
P UH0 D IH1 P,P UH0 D IH1 P L EY0
UH0 S EH1 F,UH0 S EH1 F L EY0
SH IH1 SH,SH IH1 SH W AH0
UW0 S EY1 CH,UW0 S EY1 CH W AH0
CH OW0 T EH1 M,CH OW0 T EH1 M Y IY0
EH0 F UH1 T,EH0 F UH1 T L EY0
UW0 L UH1 T,UW0 L UH1 T L EY0
Z OW0 K OW1 CH,Z OW0 K OW1 CH W AH0
M AH1 P,M AH1 P L EY0
F IY0 SH EH1 S,F IY0 SH EH1 S W AH0
EY0 K EY1 T,EY0 K EY1 T L EY0
K OW0 S IH1 CH,K OW0 S IH1 CH W AH0
