singular,plural
CH OW0 K EY1 Z,CH OW0 K EY1 Z W AH0
JH UW1 F,JH UW1 F L EY0
AH0 S OW1 T,AH0 S OW1 T L EY0
N IY0 B OW1 F,N IY0 B OW1 F L EY0
M OW0 SH EY1,M OW0 SH EY1 Y IY0
P AH1 CH,P AH1 CH W AH0
G OW1 S,G OW1 S W AH0
S EY1 P,S EY1 P L EY0
T IH0 S UW1 P,T IH0 S UW1 P L EY0
SH OW1 D,SH OW1 D Y IY0
B UW1 F,B UW1 F L EY0
UH0 T EH1 ZH,UH0 T EH1 ZH W AH0
SH OW1 F,SH OW1 F L EY0
V EY1 S,V EY1 S W AH0
EH0 T EY1 P,EH0 T EY1 P L EY0
IH0 N AH1 N,IH0 N AH1 N Y IY0
Z UW1 B,Z UW1 B Y IY0
EH0 N IY1 K,EH0 N IY1 K L EY0
B IH0 D IH1 N,B IH0 D IH1 N Y IY0
OW0 G EH1 B,OW0 G EH1 B Y IY0
P UW0 SH EH1 N,P UW0 SH EH1 N Y IY0
G IH0 S UH1,G IH0 S UH1 Y IY0
D AH1 B,D AH1 B Y IY0
AH0 L IY1 S,AH0 L IY1 S W AH0
D IY0 B EY1 F,D IY0 B EY1 F L EY0
M EH0 SH EY1,M EH0 SH EY1 Y IY0
K EY1 G,K EY1 G Y IY0
JH UW0 F UW1 K,JH UW0 F UW1 K L EY0
AH0 K IH1 P,AH0 K IH1 P L EY0
IY0 G AH1 Z,IY0 G AH1 Z W AH0
JH IY0 P UH1,JH IY0 P UH1 Y IY0
M UW1 F,M UW1 F L EY0
L IH1 ZH,L IH1 ZH W AH0
T EH0 SH IH1 F,T EH0 SH IH1 F L EY0
N UW0 V OW1 G,N UW0 V OW1 G Y IY0
L OW0 JH EY1 B,L OW0 JH EY1 B Y IY0
S EY1 S,S EY1 S W AH0
N UW0 V EY1 T,N UW0 V EY1 T L EY0
S AH1 F,S AH1 F L EY0
B EY0 P EY1 CH,B EY0 P EY1 CH W AH0
K EH1 SH,K EH1 SH W AH0
IY0 L UH1 CH,IY0 L UH1 CH W AH0
S IH0 D OW1 ZH,S IH0 D OW1 ZH W AH0
T EY0 G EY1 JH,T EY0 G EY1 JH W AH0
S UW0 P IY1 T,S UW0 P IY1 T L EY0
IH0 M IH1 SH,IH0 M IH1 SH W AH0
CH UW1 K,CH UW1 K L EY0
UH0 L IH1 D,UH0 L IH1 D Y IY0
OW0 S OW1 F,OW0 S OW1 F L EY0
EH0 JH AH1 K,EH0 JH AH1 K L EY0
S UW1 JH,S UW1 JH W AH0
IY0 G UW1 Z,IY0 G UW1 Z W AH0
UW0 M UW1 K,UW0 M UW1 K L EY0
JH EH0 L EY1 ZH,JH EH0 L EY1 ZH W AH0
IY0 D EY1 T,IY0 D EY1 T L EY0
AH0 N UW1 P,AH0 N UW1 P L EY0
JH IY1 CH,JH IY1 CH W AH0
V UW0 T AH1,V UW0 T AH1 Y IY0
OW0 B EH1 B,OW0 B EH1 B Y IY0
IY0 V UH1 K,IY0 V UH1 K L EY0
CH OW1 F,CH OW1 F L EY0
EY0 Z OW1 K,EY0 Z OW1 K L EY0
M IY1 F,M IY1 F L EY0
V IH0 K OW1 T,V IH0 K OW1 T L EY0
JH EY1 T,JH EY1 T L EY0
G EH0 L OW1 G,G EH0 L OW1 G Y IY0
Z EY1 M,Z EY1 M Y IY0
SH EY1 ZH,SH EY1 ZH W AH0
T EH1 T,T EH1 T L EY0
F OW1 F,F OW1 F L EY0
UH0 Z OW1 V,UH0 Z OW1 V Y IY0
L EH1 F,L EH1 F L EY0
AH0 S EY1 N,AH0 S EY1 N Y IY0
IY0 B UH1 D,IY0 B UH1 D Y IY0
SH UW0 Z AH1 T,SH UW0 Z AH1 T L EY0
P UW0 V UW1,P UW0 V UW1 Y IY0
S UW1 F,S UW1 F L EY0
F AH1 F,F AH1 F L EY0
B EY0 P EH1 P,B EY0 P EH1 P L EY0
B OW0 N EH1 JH,B OW0 N EH1 JH W AH0
T EY1 V,T EY1 V Y IY0
S UH1 SH,S UH1 SH W AH0
G EH1 K,G EH1 K L EY0
V AH0 G UW1 SH,V AH0 G UW1 SH W AH0
M OW0 B EY1 P,M OW0 B EY1 P L EY0
S IY1 P,S IY1 P L EY0
IH0 N EH1 K,IH0 N EH1 K L EY0
F EY1 G,F EY1 G Y IY0
UH0 Z IH1 SH,UH0 Z IH1 SH W AH0
G UH0 T IH1,G UH0 T IH1 Y IY0
B UH0 L IH1 B,B UH0 L IH1 B Y IY0
CH UW1 M,CH UW1 M Y IY0
Z EY0 K IH1 Z,Z EY0 K IH1 Z W AH0
K EH1 T,K EH1 T L EY0
IH0 F OW1 Z,IH0 F OW1 Z W AH0
S AH0 JH EH1 T,S AH0 JH EH1 T L EY0
B UW0 JH EY1 M,B UW0 JH EY1 M Y IY0
EY0 Z EY1 ZH,EY0 Z EY1 ZH W AH0
S EH1 NG,S EH1 NG Y IY0
K IH0 G IH1 D,K IH0 G IH1 D Y IY0
SH IY1 CH,SH IY1 CH W AH0
G IY0 S IY1,G IY0 S IY1 Y IY0
OW0 G AH1 NG,OW0 G AH1 NG Y IY0
CH EH0 S EY1,CH EH0 S EY1 Y IY0
AH0 D IY1 T,AH0 D IY1 T L EY0
Z OW1 CH,Z OW1 CH W AH0
UW0 K UH1 T,UW0 K UH1 T L EY0
