singular,plural
S IY0 P UW1,S IY0 P UW1 Y IY0
T IY0 T EH1 D,T IY0 T EH1 D Y IY0
P UW1 V,P UW1 V Y IY0
OW0 K OW1 N,OW0 K OW1 N Y IY0
IY0 B OW1 M,IY0 B OW1 M Y IY0
M OW0 Z AH1 G,M OW0 Z AH1 G Y IY0
Z EH1 G,Z EH1 G Y IY0
IH0 P EY1 M,IH0 P EY1 M Y IY0
L OW0 K EY1,L OW0 K EY1 Y IY0
N AH0 K AH1 D,N AH0 K AH1 D Y IY0
G IH0 CH AH1,G IH0 CH AH1 Y IY0
OW0 F OW1 G,OW0 F OW1 G Y IY0
OW0 V AH1 N,OW0 V AH1 N Y IY0
P EY1 V,P EY1 V Y IY0
Z IH1 M,Z IH1 M Y IY0
T UW1 JH,T UW1 JH W AH0
L EY1 D,L EY1 D Y IY0
G OW0 T IH1 NG,G OW0 T IH1 NG Y IY0
IH0 D OW1 V,IH0 D OW1 V Y IY0
P IY0 M IH1,P IY0 M IH1 Y IY0
L IH0 T IH1,L IH0 T IH1 Y IY0
L UW0 S AH1,L UW0 S AH1 Y IY0
SH EH0 T IY1,SH EH0 T IY1 Y IY0
UW0 Z EY1 G,UW0 Z EY1 G Y IY0
IH0 SH EH1 M,IH0 SH EH1 M Y IY0
L OW0 SH OW1 G,L OW0 SH OW1 G Y IY0
G EY1 V,G EY1 V Y IY0
M AH0 F EH1,M AH0 F EH1 Y IY0
Z IH0 K UH1 CH,Z IH0 K UH1 CH W AH0
F OW0 JH EH1,F OW0 JH EH1 Y IY0
JH UW0 B AH1 Z,JH UW0 B AH1 Z W AH0
JH AH1 D,JH AH1 D Y IY0
OW0 Z EH1 G,OW0 Z EH1 G Y IY0
UH0 SH OW1 D,UH0 SH OW1 D Y IY0
P EH1 Z,P EH1 Z W AH0
F EH1 G,F EH1 G Y IY0
V AH1 V,V AH1 V Y IY0
T OW0 T IH1,T OW0 T IH1 Y IY0
S OW1 M,S OW1 M Y IY0
G UW0 JH OW1 D,G UW0 JH OW1 D Y IY0
L UH1 D,L UH1 D Y IY0
N UW0 V EY1 T,N UW0 V EY1 T L EY0
G AH1 NG,G AH1 NG Y IY0
CH AH0 JH IY1 G,CH AH0 JH IY1 G Y IY0
F AH0 F UH1,F AH0 F UH1 Y IY0
SH AH1 B,SH AH1 B Y IY0
D OW0 K OW1 F,D OW0 K OW1 F L EY0
B UH0 K IH1 M,B UH0 K IH1 M Y IY0
D EH0 JH EH1,D EH0 JH EH1 Y IY0
IH0 G IY1 N,IH0 G IY1 N Y IY0
V UH0 S OW1 V,V UH0 S OW1 V Y IY0
UW0 V IY1 N,UW0 V IY1 N Y IY0
CH EH0 V AH1,CH EH0 V AH1 Y IY0
K UH0 Z UW1,K UH0 Z UW1 Y IY0
EY0 Z UW1 D,EY0 Z UW1 D Y IY0
K UW1 S,K UW1 S W AH0
D OW0 K EY1 M,D OW0 K EY1 M Y IY0
JH OW1 T,JH OW1 T L EY0
V UH0 SH EH1 CH,V UH0 SH EH1 CH W AH0
T IH0 S UW1 M,T IH0 S UW1 M Y IY0
UH0 K EH1 SH,UH0 K EH1 SH W AH0
EH0 L UW1 N,EH0 L UW1 N Y IY0
UH0 K UW1 B,UH0 K UW1 B Y IY0
CH EY0 V AH1,CH EY0 V AH1 Y IY0
N IY1 M,N IY1 M Y IY0
S IH0 G IH1,S IH0 G IH1 Y IY0
B EH0 V UH1 K,B EH0 V UH1 K L EY0
EH0 F EY1 G,EH0 F EY1 G Y IY0
F EY0 SH OW1 CH,F EY0 SH OW1 CH W AH0
T EY1 B,T EY1 B Y IY0
S UW1 SH,S UW1 SH W AH0
UW0 JH UW1 B,UW0 JH UW1 B Y IY0
M IY0 M EY1 G,M IY0 M EY1 G Y IY0
Z IY0 L IH1 V,Z IY0 L IH1 V Y IY0
F AH1 G,F AH1 G Y IY0
M EH0 K AH1 F,M EH0 K AH1 F L EY0
F UW1 B,F UW1 B Y IY0
UH0 Z AH1 B,UH0 Z AH1 B Y IY0
L EH0 N IH1 M,L EH0 N IH1 M Y IY0
K EH1 K,K EH1 K L EY0
IH0 K IY1 D,IH0 K IY1 D Y IY0
L OW1 T,L OW1 T L EY0
S EH1 NG,S EH1 NG Y IY0
K EH1 D,K EH1 D Y IY0
OW0 G IY1 D,OW0 G IY1 D Y IY0
SH IH0 M EH1 D,SH IH0 M EH1 D Y IY0
IY0 F EY1 V,IY0 F EY1 V Y IY0
V AH1 M,V AH1 M Y IY0
L EH0 K EH1,L EH0 K EH1 Y IY0
EH0 M AH1 N,EH0 M AH1 N Y IY0
B UH0 SH AH1,B UH0 SH AH1 Y IY0
OW0 F EH1 G,OW0 F EH1 G Y IY0
S IH0 SH AH1,S IH0 SH AH1 Y IY0
M IH0 P AH1 B,M IH0 P AH1 B Y IY0
JH IY1 V,JH IY1 V Y IY0
OW0 D EY1 D,OW0 D EY1 D Y IY0
Z AH0 CH IY1 CH,Z AH0 CH IY1 CH W AH0
Z UW0 T IY1 V,Z UW0 T IY1 V Y IY0
SH IH0 CH EH1 NG,SH IH0 CH EH1 NG Y IY0
EY0 Z AH1 M,EY0 Z AH1 M Y IY0
OW0 K OW1 V,OW0 K OW1 V Y IY0
D UW0 JH UW1 F,D UW0 JH UW1 F L EY0
V IY1 T,V IY1 T L EY0
CH OW0 T AH1,CH OW0 T AH1 Y IY0
L UW1 D,L UW1 D Y IY0
G UH1 D,G UH1 D Y IY0
S UH0 SH EH1 N,S UH0 SH EH1 N Y IY0
AH0 CH IY1 V,AH0 CH IY1 V Y IY0
